Age,Tenure,MonthlyCharges,TotalCharges,Contract,InternetService,PaymentMethod,SeniorCitizen,Churn
22,3,29.85,89.55,Month-to-month,DSL,Electronic check,0,0
35,24,56.95,1366.8,One year,Fiber optic,Mailed check,0,0
58,2,70.7,141.4,Month-to-month,Fiber optic,Electronic check,1,1
41,36,42.3,1522.8,Two year,DSL,Bank transfer,0,0
29,8,89.1,712.8,Month-to-month,Fiber optic,Electronic check,0,1
67,60,45.25,2715.0,Two year,DSL,Credit card,1,0
31,12,75.5,906.0,One year,Fiber optic,Bank transfer,0,0
46,5,95.3,476.5,Month-to-month,Fiber optic,Electronic check,0,1
25,18,35.2,633.6,One year,DSL,Mailed check,0,0
52,48,62.4,2995.2,Two year,DSL,Credit card,1,0
38,7,84.75,593.25,Month-to-month,Fiber optic,Electronic check,0,1
61,72,39.95,2876.4,Two year,DSL,Bank transfer,1,0
27,4,55.6,222.4,Month-to-month,DSL,Mailed check,0,1
44,30,68.2,2046.0,One year,Fiber optic,Credit card,0,0
33,10,91.4,914.0,Month-to-month,Fiber optic,Electronic check,0,1
70,65,47.8,3107.0,Two year,DSL,Bank transfer,1,0
24,6,78.35,470.1,Month-to-month,Fiber optic,Electronic check,0,1
55,40,52.1,2084.0,One year,DSL,Credit card,1,0
36,15,64.9,973.5,Month-to-month,DSL,Mailed check,0,0
49,3,88.6,265.8,Month-to-month,Fiber optic,Electronic check,0,1
63,55,43.75,2406.25,Two year,DSL,Credit card,1,0
30,20,59.3,1186.0,One year,Fiber optic,Bank transfer,0,0
42,9,82.15,739.35,Month-to-month,Fiber optic,Electronic check,0,1
68,70,41.5,2905.0,Two year,DSL,Bank transfer,1,0
26,2,92.8,185.6,Month-to-month,Fiber optic,Electronic check,0,1
57,45,50.65,2279.25,One year,DSL,Credit card,1,0
39,14,73.4,1027.6,Month-to-month,Fiber optic,Mailed check,0,1
47,32,61.25,1960.0,One year,DSL,Bank transfer,0,0
23,5,67.9,339.5,Month-to-month,Fiber optic,Electronic check,0,1
59,58,46.3,2685.4,Two year,DSL,Credit card,1,0
